"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"E2E Test for moemax-DE","25814","[DE] moemax - Payment: PP (1P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for xxxlutz-AT","46981","[AT] xxxlutz - Payment: CC (1P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-CH-TW","29078","[CH] xxxlutz - Payment: TW (1P)","chromium","2026-01-29","passed","2026-01-29","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","43764","[DE] moemax - Payment: PP (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for DE","50278","[DE] xxxlutz - Payment: KL (1P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","51665","[AT] xxxlutz - Payment: KL (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","72851","[DE] xxxlutz - Payment: KO (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","55955","[AT] xxxlutz - Payment: KN (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","34716","[DE] xxxlutz - Payment: CC (2P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","80382","[DE] xxxlutz - Payment: KL (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for HU","42092","[HU] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-RO","31240","[RO] xxxlutz - Payment: SP (1P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for SK","38057","[SK] xxxlutz - Payment: PP (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for HU","32667","[HU] xxxlutz - Payment: DEL (1P)","chromium","2026-01-22","failed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","11610","[DE] xxxlutz - Payment: CreditCard (2P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for HR","28668","[HR] xxxlesnina - Payment: CC (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","37259","[DE] xxxlutz - Payment: PP (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for CZ","32864","[CZ] xxxlutz - Payment: ON (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","51460","[DE] xxxlutz - Payment: KO (1P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for CH","32132","[CH] xxxlutz - Payment: TW (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-AT","58829","[AT] xxxlutz - Payment: BI (1P)","chromium","2026-01-29","passed","2026-01-29","","E2E-Lutz-Billie.spec.js","",""
"E2E Test for AT","25272","[AT] moemax - Payment: CreditCard (1P)","chromium","2026-01-09","passed","2026-01-09","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","94937","[DE] xxxlutz - Payment: KN (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-AT-KN","50633","[AT] xxxlutz - Payment: KN (1P)","chromium","2026-01-27","failed","2026-01-27","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-HU-DEL","34252","[HU] xxxlutz - Payment: DEL (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for HR","29840","[HR] xxxlesnina - Payment: DEL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-DE","19214","[DE] xxxlutz - Payment: CC (2P)","chromium","2026-01-28","failed","2026-01-28","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for AT","57400","[AT] xxxlutz - Payment: PP (1P)","chromium","2026-01-09","passed","2026-01-09","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for xxxlutz-SK-DEL","30723","[SK] xxxlutz - Payment: DEL (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","53753","[DE] xxxlutz - Payment: KO (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for CH","53772","[CH] xxxlutz - Payment: KL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-AT-KL","35495","[AT] xxxlutz - Payment: KL (1P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","51076","[DE] moemax - Payment: CreditCard (1P)","chromium","2026-01-13","passed","2026-01-13","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for DE","70376","[DE] xxxlutz - Payment: KN (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","73651","[AT] xxxlutz - Payment: KN (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"","22363","SSO Session Capture","chromium","2026-01-29","passed","2026-01-29","","auth.spec.js","",""
"E2E Test for AT","56484","[AT] xxxlutz - Payment: KL (2P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlesnina-HR","19735","[HR] xxxlesnina - Payment: CC (1P)","chromium","2026-01-28","failed","2026-01-28","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for AT","29580","[AT] xxxlutz - Payment: CC (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-HU","50604","[HU] xxxlutz - Payment: CC (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-AT-KL","44840","[AT] xxxlutz - Payment: KL (2P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","78882","[DE] xxxlutz - Payment: KN (3P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for xxxlutz-SK","19205","[SK] xxxlutz - Payment: PP (1P)","chromium","2026-01-28","failed","2026-01-28","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for AT","46769","[AT] xxxlutz - Payment: KO (1P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
